INPUT:
start: 2010-01-01
factor: ['pb']
weightType: 1
factor_direction: [1]
end: 2011 -01-01
n: 10
path: D:\strategy\GDP\GD.db
hedgemethod: 1
industry_neutral: 0
backperiod: 20
positionType: 2

OUTPUT:
	time	stkcd	weight
2	2010-04-07	600161	0.08105228983948842
3	2010-04-07	002038	0.10463477780957428
4	2010-04-07	600875	0.09131928397765668
5	2010-04-07	601607	0.16321208589168015
6	2010-04-07	600812	0.09596972421015428
7	2010-04-07	601099	0.0735614730427599
8	2010-04-07	600547	0.07910637288081833
9	2010-04-07	600816	0.15101756849194803
0	2010-04-08	600276	0.07587508912650326
1	2010-04-08	000568	0.08425133472941679
2	2010-04-08	600161	0.08105228983948842
3	2010-04-08	002038	0.10463477780957428
4	2010-04-08	600875	0.09131928397765668
5	2010-04-08	601607	0.16321208589168015
6	2010-04-08	600812	0.09596972421015428
7	2010-04-08	601099	0.0735614730427599
8	2010-04-08	600547	0.07910637288081833
9	2010-04-08	600816	0.15101756849194803
0	2010-04-09	600276	0.07587508912650326
1	2010-04-09	000568	0.08425133472941679
2	2010-04-09	600161	0.08105228983948842
3	2010-04-09	002038	0.10463477780957428
4	2010-04-09	600875	0.09131928397765668
5	2010-04-09	601607	0.16321208589168015
6	2010-04-09	600812	0.09596972421015428
7	2010-04-09	601099	0.0735614730427599
8	2010-04-09	600547	0.07910637288081833
9	2010-04-09	600816	0.15101756849194803
0	2010-04-12	600276	0.07587508912650326
1	2010-04-12	000568	0.08425133472941679
2	2010-04-12	600161	0.08105228983948842
3	2010-04-12	002038	0.10463477780957428
4	2010-04-12	600875	0.09131928397765668
5	2010-04-12	601607	0.16321208589168015
6	2010-04-12	600812	0.09596972421015428
7	2010-04-12	601099	0.0735614730427599
8	2010-04-12	600547	0.07910637288081833
9	2010-04-12	600816	0.15101756849194803
0	2010-04-13	600276	0.07587508912650326
1	2010-04-13	000568	0.08425133472941679
2	2010-04-13	600161	0.08105228983948842
3	2010-04-13	002038	0.10463477780957428
4	2010-04-13	600875	0.09131928397765668
5	2010-04-13	601607	0.16321208589168015
6	2010-04-13	600812	0.09596972421015428
7	2010-04-13	601099	0.0735614730427599
8	2010-04-13	600547	0.07910637288081833
9	2010-04-13	600816	0.15101756849194803
0	2010-04-14	600276	0.07587508912650326
1	2010-04-14	000568	0.08425133472941679
2	2010-04-14	600161	0.08105228983948842
3	2010-04-14	002038	0.10463477780957428
